batch_id,temperature_C,time_h,UTS_MPa,elongation_pct,hardness_HV
B01,725,5,1213.7,8.0,323.0
B01,500,6,893.4,16.6,278.5
B01,525,7,914.0,15.0,283.8
B01,550,8,1000.4,15.3,304.1
B01,575,9,1018.5,14.3,300.2
B01,600,2,1049.2,12.3,305.3
B01,625,3,1039.2,11.1,308.5
B01,650,4,1098.8,9.7,311.7
B01,675,5,1153.8,10.9,323.4
B01,700,6,1173.3,11.5,332.5
B01,725,7,1226.1,8.5,333.7
B01,500,8,907.2,17.3,275.7
B01,525,9,916.9,12.0,284.6
B01,550,2,977.7,16.2,293.2
B01,575,3,984.8,15.6,295.9
B01,600,4,1043.1,12.6,297.7
B01,625,5,1053.4,13.1,305.3
B01,650,6,1133.1,11.9,319.3
B01,675,7,1150.4,10.8,320.6
B01,700,8,1158.9,12.4,322.6
B01,725,9,1256.1,9.7,346.9
B01,500,2,895.1,14.9,281.2
B01,525,3,935.2,15.1,298.1
B01,550,4,945.4,14.9,309.3
B01,575,5,991.5,13.5,293.9
B01,600,6,1033.9,12.5,292.2
B01,625,7,1028.3,12.6,294.8
B01,650,8,1122.0,14.0,317.9
B01,675,9,1109.8,11.5,319.5
B01,700,2,1174.5,9.8,338.0
B01,725,3,1218.2,10.4,325.9
B01,500,4,899.5,14.0,273.7
B01,525,5,945.7,14.7,291.9
B01,550,6,966.2,13.8,289.1
B01,575,7,1007.8,12.0,300.2
B01,600,8,1066.4,10.8,314.3
B01,625,9,1098.0,11.5,309.0
B01,650,2,1102.9,12.2,315.0
B01,675,3,1162.3,12.5,324.3
B01,700,4,1179.9,9.5,317.7
B01,725,5,1222.2,8.3,336.1
B01,500,6,893.7,16.1,277.5
B01,525,7,912.5,14.8,283.0
B01,550,8,972.4,12.6,300.5
B01,575,9,988.6,14.9,297.2
B01,600,2,1079.2,13.1,314.4
B01,625,3,1054.4,10.9,307.6
B01,650,4,1122.7,12.7,319.5
B01,675,5,1136.9,10.9,320.7
B01,700,6,1202.9,9.4,333.1
B01,725,7,1204.3,10.5,331.4
B01,500,8,905.7,14.9,275.9
B01,525,9,938.8,14.8,287.3
B01,550,2,956.2,14.6,284.6
B01,575,3,1026.3,12.8,293.2
B01,600,4,1070.4,13.6,324.1
B01,625,5,1041.9,13.8,318.3
B01,650,6,1119.8,14.0,312.4
B01,675,7,1109.5,11.0,320.7
B01,700,8,1172.0,11.1,331.4
B01,725,9,1240.3,8.4,335.4
B01,500,2,873.6,17.2,275.8
B01,525,3,939.4,12.6,286.5
B01,550,4,960.9,14.1,286.9
B01,575,5,1009.3,13.0,296.8
B01,600,6,1047.9,13.6,306.7
B01,625,7,1067.8,13.0,313.6
B01,650,8,1110.6,10.5,314.2
B01,675,9,1146.4,12.8,324.5
B01,700,2,1212.0,9.6,342.2
B01,725,3,1204.3,7.0,321.3
B01,500,4,883.6,16.2,267.5
B01,525,5,927.1,14.1,286.0
B01,550,6,955.2,13.3,288.8
B01,575,7,1010.9,14.0,286.7
B01,600,8,1042.9,14.5,305.8
B01,625,9,1067.2,15.1,304.5
B01,650,2,1122.4,9.0,315.8
B01,675,3,1125.7,11.9,315.4
B01,700,4,1186.8,10.5,328.2
B01,725,5,1205.8,11.8,329.4
B01,500,6,907.5,16.1,288.2
B01,525,7,922.3,15.0,282.4
B01,550,8,958.8,14.0,291.9
B01,575,9,1004.1,14.3,294.2
B01,600,2,1033.4,12.5,302.6
B01,625,3,1082.9,12.4,306.6
B01,650,4,1074.9,11.6,313.9
B01,675,5,1153.1,11.6,319.0
B01,700,6,1171.8,11.4,318.0
B01,725,7,1258.5,12.5,350.7
B01,500,8,888.0,15.7,272.6
B01,525,9,953.4,16.1,299.9
B01,550,2,994.4,14.6,295.7
B01,575,3,1031.5,12.4,310.8
B01,600,4,1060.7,12.6,302.3
B01,625,5,1084.9,12.4,312.1
B01,650,6,1104.2,11.3,320.3
B01,675,7,1164.6,9.7,318.0
B01,700,8,1153.0,10.9,308.1
B01,725,9,1224.8,10.4,334.0
B01,500,2,880.9,15.0,273.1
B01,525,3,969.5,12.9,295.7
B01,550,4,974.3,14.5,285.8
B01,575,5,1011.5,13.5,302.1
B01,600,6,1010.2,12.6,288.5
B01,625,7,1056.0,10.3,317.1
B01,650,8,1126.2,13.4,318.1
B01,675,9,1143.5,12.8,326.0
B01,700,2,1177.5,12.9,340.4
B01,725,3,1241.4,11.1,340.0
B01,500,4,885.3,14.1,280.8
B01,525,5,950.4,16.5,289.4
B01,550,6,972.4,15.3,283.4
B01,575,7,983.1,13.6,285.9
B01,600,8,1014.2,15.0,302.0
B01,625,9,1078.9,15.3,317.9
B01,650,2,1109.7,10.4,328.5
B01,675,3,1128.4,12.9,311.1
B01,700,4,1214.5,10.9,324.6
B01,725,5,1239.3,9.7,337.7
B01,500,6,895.9,14.7,280.4
B01,525,7,935.9,14.0,282.9
B01,550,8,983.3,16.3,302.9
B01,575,9,1004.4,14.4,301.6
B01,600,2,1067.9,10.4,310.4
B01,625,3,1102.5,11.3,320.0
B01,650,4,1112.5,10.0,320.5
B01,675,5,1135.9,10.4,319.2
B01,700,6,1164.0,12.8,328.5
B01,725,7,1217.9,9.8,339.5
B01,500,8,906.6,17.1,289.7
B01,525,9,960.0,13.5,287.4
B01,550,2,977.7,12.5,295.6
B01,575,3,996.5,14.3,292.3
B01,600,4,1007.9,12.5,301.0
B01,625,5,1077.7,12.8,313.2
B01,650,6,1124.2,9.2,312.6
B01,675,7,1148.5,9.1,329.0
B01,700,8,1181.3,9.2,326.0
B01,725,9,1237.5,10.0,332.7
B01,500,2,887.6,16.9,265.7
B01,525,3,917.9,16.3,272.0
B01,550,4,979.5,15.7,281.7
B01,575,5,976.3,13.1,279.4
B01,600,6,1047.9,11.0,303.1
B01,625,7,1073.3,11.8,318.6
B01,650,8,1124.9,10.5,320.2
B01,675,9,1145.2,9.1,323.7
B01,700,2,1156.8,10.8,327.9
B01,725,3,1199.6,11.3,331.7
B01,500,4,894.2,15.8,273.1
B01,525,5,947.3,16.8,288.2
B01,550,6,966.0,13.4,298.0
B01,575,7,1016.7,13.5,303.8
B01,600,8,1061.7,11.7,317.8
B01,625,9,1073.4,13.5,295.0
B01,650,2,1125.5,12.0,318.4
B01,675,3,1176.3,12.1,330.1
B01,700,4,1197.8,11.3,332.5
B01,725,5,1245.5,9.6,333.9
B01,500,6,890.6,14.6,277.4
B01,525,7,939.7,16.4,289.6
B01,550,8,965.1,14.2,285.9
B01,575,9,968.0,13.4,296.6
B01,600,2,1022.0,13.1,308.2
B01,625,3,1101.3,15.8,310.4
B01,650,4,1108.6,10.7,313.8
B01,675,5,1155.7,10.5,314.7
B01,700,6,1188.6,12.7,329.0
B01,725,7,1196.7,8.1,331.5
B01,500,8,919.7,17.5,281.7
B01,525,9,944.0,16.2,291.3
B01,550,2,1000.0,12.5,296.5
B01,575,3,999.2,13.9,295.2
B01,600,4,998.9,12.6,300.9
B01,625,5,1052.7,14.3,303.6
B01,650,6,1095.0,10.7,312.0
B01,675,7,1118.4,10.4,321.4
B01,700,8,1166.7,10.5,317.8
B01,725,9,1233.0,9.7,335.6
B01,500,2,904.0,14.3,278.0
B01,525,3,923.8,15.3,274.8
B01,550,4,965.1,16.2,294.2
B01,575,5,1026.4,13.9,297.3
B01,600,6,1064.2,12.1,307.4
B01,625,7,1085.5,13.2,298.5
B01,650,8,1118.6,13.1,324.3
B01,675,9,1171.0,12.0,323.4
B01,700,2,1162.5,10.6,317.0
B01,725,3,1160.7,9.7,323.4
B01,500,4,889.8,16.2,286.5
B01,525,5,992.8,15.9,299.0
B01,550,6,969.4,15.5,289.3
B01,575,7,1014.2,13.8,295.5
B01,600,8,1030.2,12.8,308.0
B01,625,9,1076.0,11.1,312.7
B01,650,2,1118.3,10.5,309.7
B01,675,3,1130.8,9.9,325.2
B01,700,4,1178.9,10.2,327.0
B01,725,5,1230.9,11.8,337.3
B01,500,6,915.5,16.7,286.6
B01,525,7,904.3,12.9,283.1
B01,550,8,990.6,14.4,297.3
B01,575,9,987.7,14.8,293.9
B01,600,2,1029.0,12.9,297.3
B01,625,3,1060.8,12.5,306.5
B01,650,4,1122.0,10.7,314.1
B01,675,5,1159.7,11.0,325.3
B01,700,6,1204.1,11.4,333.4
B01,725,7,1214.8,9.8,328.7
B01,500,8,900.7,17.0,275.8
B01,525,9,916.4,15.9,283.8
B01,550,2,951.8,14.5,291.7
B01,575,3,1001.5,13.3,297.1
B01,600,4,1019.8,14.7,297.1
B01,625,5,1088.2,11.8,319.7
B01,650,6,1145.8,12.2,320.1
B01,675,7,1134.5,11.0,321.4
B01,700,8,1166.2,11.7,324.1
B01,725,9,1189.9,14.4,331.5
B01,500,2,893.5,16.4,287.4
B01,525,3,983.0,15.8,300.1
B01,550,4,955.4,14.3,289.2
B01,575,5,986.0,14.9,284.5
B01,600,6,1047.4,12.8,308.0
B01,625,7,1063.9,8.5,304.6
B01,650,8,1105.1,10.9,312.2
B01,675,9,1162.3,11.5,325.6
B01,700,2,1201.5,9.1,324.9
B01,725,3,1222.0,9.5,339.9
B01,500,4,900.5,16.1,285.7
B01,525,5,966.6,15.3,296.4
B01,550,6,960.5,13.1,280.9
B01,575,7,1017.3,14.1,304.7
B01,600,8,1065.0,11.4,306.4
B01,625,9,1046.0,13.1,305.0
B01,650,2,1106.1,12.8,307.4
B01,675,3,1184.6,9.5,322.7
B01,700,4,1190.4,9.6,328.6
B01,725,5,1185.0,9.5,329.9
B01,500,6,938.3,16.2,301.5
B01,525,7,919.5,11.9,279.5
B01,550,8,1000.2,15.1,294.8
B01,575,9,996.8,13.5,304.2
B01,600,2,1011.0,12.6,296.2
B01,625,3,1075.6,13.8,321.1
B01,650,4,1098.6,11.7,318.1
B01,675,5,1151.1,11.3,328.0
B01,700,6,1207.5,9.7,329.6
B01,725,7,1218.3,10.1,334.0
B01,500,8,868.6,16.2,273.2
B01,525,9,909.9,13.9,274.7
B01,550,2,975.3,14.0,293.9
B01,575,3,1001.8,14.4,295.6
B01,600,4,1055.3,11.9,304.6
B01,625,5,1092.0,14.0,303.2
B01,650,6,1104.5,12.3,311.6
B01,675,7,1180.3,10.8,321.2
B01,700,8,1157.0,9.2,314.8
B01,725,9,1212.0,9.8,326.6
B01,500,2,896.7,13.7,280.2
B01,525,3,923.4,13.8,278.1
B01,550,4,961.5,16.1,284.6
B01,575,5,999.4,14.1,302.8
B01,600,6,1068.9,13.8,311.5
B01,625,7,1024.1,14.1,299.1
B01,650,8,1116.2,10.7,321.5
B01,675,9,1145.2,11.9,326.2
B01,700,2,1201.7,10.0,337.4
B01,725,3,1198.2,9.7,323.4
B01,500,4,883.9,13.7,273.9
B01,525,5,931.4,15.2,287.9
B01,550,6,969.4,16.3,304.2
B01,575,7,1011.5,14.1,298.8
B01,600,8,1046.7,12.6,303.1
B01,625,9,1047.2,10.8,296.4
B01,650,2,1115.1,13.2,332.3
B01,675,3,1130.5,13.1,313.9
B01,700,4,1181.1,11.0,324.0
B01,725,5,1212.1,10.0,340.5
B01,500,6,884.7,14.1,271.7
B01,525,7,950.9,16.0,290.8
B01,550,8,956.2,14.6,274.0
B01,575,9,987.6,16.5,292.6
B01,600,2,1057.4,15.1,309.2
B01,625,3,1089.8,11.0,310.5
B01,650,4,1092.8,11.1,312.4
B01,675,5,1140.3,11.0,327.9
B01,700,6,1169.8,11.0,326.0
B01,725,7,1219.2,10.9,334.4
B01,500,8,883.8,16.4,265.8
B01,525,9,937.6,14.8,281.7
B01,550,2,970.7,15.1,287.5
B01,575,3,1019.2,12.4,285.9
B01,600,4,1023.5,9.9,303.4
B01,625,5,1084.0,11.2,315.2
B01,650,6,1105.6,10.2,313.5
B01,675,7,1178.8,10.0,324.4
B01,700,8,1163.1,11.8,320.2
B01,725,9,1223.7,10.9,343.1
B01,500,2,898.4,17.0,270.5
B01,525,3,940.8,13.5,288.0
B01,550,4,945.4,16.2,294.6
B01,575,5,1004.6,16.4,300.9
B01,600,6,1031.7,14.3,298.1
B01,625,7,1093.4,13.4,310.4
B01,650,8,1147.3,12.2,320.2
B01,675,9,1160.6,12.6,324.9
B01,700,2,1161.6,11.7,317.4
B01,725,3,1227.0,11.1,331.6
B01,500,4,889.2,13.9,283.1
B01,525,5,933.8,13.4,280.9
B01,550,6,987.4,14.1,291.1
B01,575,7,1061.0,13.1,317.7
B01,600,8,1020.3,12.8,286.8
B01,625,9,1073.4,12.9,316.6
B01,650,2,1102.5,12.6,314.7
B01,675,3,1158.6,11.1,323.8
B01,700,4,1150.5,9.7,318.3
B01,725,5,1220.2,11.8,332.1
B01,500,6,862.2,15.8,278.4
B01,525,7,920.7,14.8,279.6
B01,550,8,965.8,11.7,276.2
B01,575,9,981.7,14.8,300.6
B01,600,2,1029.2,12.4,306.7
B01,625,3,1075.2,9.6,314.6
B01,650,4,1111.6,12.2,319.4
B01,675,5,1165.5,10.4,319.9
B01,700,6,1173.5,10.7,325.7
B01,725,7,1224.2,11.6,332.2
B01,500,8,899.4,16.8,284.4
B01,525,9,927.5,13.6,287.0
B01,550,2,999.8,15.4,296.6
B01,575,3,1011.9,12.4,294.6
B01,600,4,1075.1,14.1,307.2
B01,625,5,1088.5,13.1,314.5
B01,650,6,1144.5,11.7,308.5
B01,675,7,1166.3,11.2,314.4
B01,700,8,1185.2,10.2,329.2
B01,725,9,1174.6,9.8,327.4
B01,500,2,909.7,14.7,289.8
B01,525,3,947.5,14.2,284.8
B01,550,4,995.8,14.8,303.1
B01,575,5,992.3,11.7,295.2
B01,600,6,1052.3,13.6,311.2
B01,625,7,1085.6,10.5,309.6
B01,650,8,1116.8,13.8,312.5
B01,675,9,1163.2,10.9,327.3
B01,700,2,1160.5,10.8,318.3
B01,725,3,1203.2,10.6,333.9
B01,500,4,918.5,15.1,290.3
B01,525,5,936.4,15.3,277.8
B01,550,6,981.6,16.4,284.4
B01,575,7,975.8,13.8,293.2
B01,600,8,1022.1,13.3,293.7
B01,625,9,1096.4,11.9,319.5
B01,650,2,1098.2,11.8,312.3
B01,675,3,1163.2,11.5,319.5
B01,700,4,1167.2,11.2,315.5
B01,725,5,1263.1,9.9,332.1
B01,500,6,907.5,14.9,290.7
B01,525,7,940.7,16.0,286.0
B01,550,8,945.9,14.2,297.9
B01,575,9,1009.6,14.0,310.9
B01,600,2,1045.1,13.1,298.0
B01,625,3,1074.7,11.0,294.1
B01,650,4,1087.4,11.1,314.3
B01,675,5,1153.5,10.5,325.9
B01,700,6,1161.5,10.6,322.8
B01,725,7,1216.6,11.5,326.7
B01,500,8,870.6,16.1,268.4
B01,525,9,941.7,16.2,285.5
B01,550,2,934.6,13.3,278.7
B01,575,3,1002.4,12.6,302.1
B01,600,4,1069.1,12.6,313.9
B01,625,5,1047.7,10.7,302.5
B01,650,6,1155.0,11.9,328.7
B01,675,7,1146.9,12.7,317.8
B01,700,8,1198.4,10.3,325.3
B01,725,9,1217.7,10.4,315.6
B01,500,2,892.2,15.9,277.2
B01,525,3,934.0,14.8,288.8
B01,550,4,987.7,14.3,298.6
B01,575,5,1021.3,13.3,293.5
B01,600,6,1024.7,14.3,302.0
B01,625,7,1092.5,13.3,312.3
B01,650,8,1126.4,11.0,315.1
B01,675,9,1157.0,10.2,331.5
B01,700,2,1159.0,11.6,311.9
B01,725,3,1244.1,8.2,336.3
B01,500,4,892.8,18.7,270.2
B01,525,5,933.9,12.5,282.9
B01,550,6,971.8,12.7,293.1
B01,575,7,994.8,12.9,292.6
B01,600,8,1042.2,13.8,303.4
B01,625,9,1074.7,11.8,314.9
B01,650,2,1146.2,12.0,323.5
B01,675,3,1153.8,11.4,316.5
B01,700,4,1200.0,11.0,331.1
B01,725,5,1204.6,9.3,325.2
B01,500,6,929.5,14.3,276.8
B01,525,7,940.6,14.1,281.5
B01,550,8,955.2,15.5,288.2
B01,575,9,1011.6,12.5,294.2
B01,600,2,1062.4,13.4,296.1
B01,625,3,1069.7,12.6,306.1
B01,650,4,1128.2,10.6,311.3
B01,675,5,1173.3,12.3,320.4
B01,700,6,1185.7,11.5,334.8
B01,725,7,1206.6,9.9,327.9
B01,500,8,878.9,14.0,271.4
B01,525,9,956.2,15.9,290.6
B01,550,2,971.7,15.1,288.0
B01,575,3,1037.7,14.2,306.0
B01,600,4,1028.0,12.2,296.9
B01,625,5,1053.0,9.6,305.6
B01,650,6,1117.1,10.9,304.4
B01,675,7,1119.5,11.9,315.3
B01,700,8,1164.7,11.5,315.2
B01,725,9,1189.5,10.3,324.6
B01,500,2,892.5,17.0,277.5
B01,525,3,954.5,13.5,288.3
B01,550,4,998.2,11.7,302.5
B01,575,5,1023.1,11.3,311.1
B01,600,6,1053.7,13.3,305.6
B01,625,7,1075.0,12.8,312.0
B01,650,8,1103.6,11.6,310.1
B01,675,9,1152.3,11.4,317.6
B01,700,2,1174.6,9.4,330.1
B01,725,3,1233.9,10.7,331.9
B01,500,4,886.9,17.4,277.2
B01,525,5,954.4,15.8,287.9
B01,550,6,970.7,16.1,295.0
B01,575,7,1002.1,14.0,296.8
B01,600,8,1000.0,14.4,302.1
B01,625,9,1107.1,13.8,316.5
B01,650,2,1129.8,10.9,318.2
B01,675,3,1173.5,8.4,323.6
B01,700,4,1180.4,11.2,325.0
B01,725,5,1230.5,10.3,327.9
B01,500,6,877.4,15.0,280.7
B01,525,7,936.7,14.3,275.4
B01,550,8,951.6,13.3,280.9
B01,575,9,1018.3,12.5,301.5
B01,600,2,1037.4,14.9,309.8
B01,625,3,1053.3,13.3,304.4
B01,650,4,1104.1,11.3,303.9
B01,675,5,1155.5,8.9,335.5
B01,700,6,1177.8,11.5,328.2
B01,725,7,1224.8,9.2,327.3
B01,500,8,868.0,11.9,282.8
B01,525,9,919.5,15.9,278.1
B01,550,2,977.7,12.5,286.9
B01,575,3,996.7,13.9,290.8
B01,600,4,1038.7,13.4,309.1
B01,625,5,1082.5,12.8,310.4
B01,650,6,1114.9,11.3,310.5
B01,675,7,1152.9,9.8,325.9
B01,700,8,1154.3,11.0,329.7
B01,725,9,1205.9,9.0,337.7
B01,500,2,876.5,15.7,286.0
B01,525,3,939.3,13.7,290.9
B01,550,4,948.3,13.9,290.6
B01,575,5,983.6,14.3,290.9
B01,600,6,1021.2,12.7,283.6
B01,625,7,1052.4,9.8,307.7
B01,650,8,1104.6,13.7,310.8
B01,675,9,1139.6,10.8,319.3
B01,700,2,1182.7,9.5,330.5
B01,725,3,1191.8,9.3,320.4
B01,500,4,930.2,16.3,282.0
B01,525,5,949.2,16.1,285.8
B01,550,6,963.7,15.3,288.0
B01,575,7,997.1,12.7,294.4
B01,600,8,1025.7,13.3,303.5
B01,625,9,1084.0,14.1,301.8
B01,650,2,1102.0,11.2,305.6
B01,675,3,1138.6,13.0,320.4
B01,700,4,1189.2,10.2,328.4
B01,725,5,1231.8,9.9,326.4
B01,500,6,872.2,14.3,272.1
B01,525,7,915.5,16.1,294.1
B01,550,8,974.3,15.3,285.0
B01,575,9,1010.5,15.0,302.3
B01,600,2,1057.1,13.8,302.6
B01,625,3,1103.8,14.0,306.5
B01,650,4,1104.2,11.7,320.7
B01,675,5,1161.0,11.5,313.6
B01,700,6,1184.2,10.4,324.9
B01,725,7,1244.0,9.9,333.7
B01,500,8,897.0,14.1,270.9
B01,525,9,933.6,15.5,284.9
B01,550,2,990.6,13.5,299.6
B01,575,3,995.4,13.8,300.0
B01,600,4,1041.2,14.1,301.6
B01,625,5,1087.6,14.3,314.2
B01,650,6,1106.2,11.2,313.1
B01,675,7,1159.4,12.2,320.8
B01,700,8,1178.6,11.8,325.3
B01,725,9,1211.1,10.5,335.6
B01,500,2,916.2,16.9,290.4
B01,525,3,952.9,14.7,289.6
B01,550,4,968.9,13.7,287.3
B01,575,5,983.5,12.3,290.8
B01,600,6,1024.8,16.3,299.5
B01,625,7,1069.9,14.2,310.2
B01,650,8,1134.4,11.2,318.4
B01,675,9,1193.7,11.8,330.7
B01,700,2,1181.0,11.7,339.4
B01,725,3,1240.1,10.8,328.0
B01,500,4,876.2,15.5,269.1
B01,525,5,966.6,15.3,289.3
B01,550,6,991.5,14.3,301.2
B01,575,7,1016.0,15.0,301.1
B01,600,8,1037.7,13.6,311.0
B01,625,9,1091.2,12.8,317.0
B01,650,2,1108.2,10.8,323.8
B01,675,3,1125.4,9.5,321.1
B01,700,4,1183.7,10.8,327.3
B01,725,5,1204.5,10.8,319.5
B01,500,6,935.3,15.5,291.3
B01,525,7,960.2,13.3,283.4
B01,550,8,945.0,12.5,286.5
B01,575,9,995.4,13.1,296.2
B01,600,2,1021.4,14.8,289.2
B01,625,3,1074.4,12.5,298.5
B01,650,4,1099.4,11.9,301.7
B01,675,5,1130.6,12.0,320.2
B01,700,6,1203.0,10.5,337.3
B01,725,7,1200.0,10.1,325.6
B01,500,8,890.7,16.5,275.2
B01,525,9,939.4,16.1,282.7
B01,550,2,974.8,14.2,299.2
B01,575,3,1009.2,15.0,305.9
B01,600,4,1041.0,14.7,305.4
B01,625,5,1073.2,13.6,296.6
B01,650,6,1124.0,11.2,318.7
B01,675,7,1142.7,11.7,313.0
B01,700,8,1192.8,10.0,320.6
B01,725,9,1251.9,8.2,330.7
B01,500,2,901.2,15.0,282.1
B01,525,3,942.1,14.2,288.1
B01,550,4,967.5,13.8,294.9
B01,575,5,972.6,15.1,284.9
B01,600,6,1067.4,12.8,303.0
B01,625,7,1067.1,14.5,309.0
B01,650,8,1100.2,13.8,309.9
B01,675,9,1169.4,11.3,324.4
B01,700,2,1199.4,9.8,325.5
B01,725,3,1223.0,9.9,343.9
B01,500,4,901.8,15.0,278.1
B01,525,5,930.0,13.3,289.7
B01,550,6,959.0,15.7,295.6
B01,575,7,1037.2,14.9,292.7
B01,600,8,1027.8,12.9,305.7
B01,625,9,1075.9,13.5,323.6
B01,650,2,1121.8,13.4,322.8
B01,675,3,1145.3,10.0,315.7
B01,700,4,1153.0,10.4,316.5
B01,725,5,1174.0,8.5,322.7
B01,500,6,920.9,17.2,286.3
B01,525,7,935.5,13.1,298.3
B01,550,8,993.8,14.3,295.6
B01,575,9,986.4,13.0,291.7
B01,600,2,1060.1,12.8,309.9
B02,450,2,904.4,17.4,270.7
B02,475,3,947.0,15.4,280.2
B02,500,4,939.0,16.1,288.0
B02,525,5,984.7,17.0,304.6
B02,550,6,1049.0,14.3,306.2
B02,575,7,1090.2,13.9,304.2
B02,600,8,1086.7,13.5,311.7
B02,625,9,1102.3,12.0,315.3
B02,650,2,1209.5,11.2,329.7
B02,675,3,1170.1,11.5,319.2
B02,450,4,896.1,15.5,286.1
B02,475,5,933.9,15.0,281.5
B02,500,6,955.1,16.1,288.9
B02,525,7,988.5,16.3,296.4
B02,550,8,1048.0,11.6,304.2
B02,575,9,1083.2,13.9,323.5
B02,600,2,1099.2,13.2,315.6
B02,625,3,1131.5,13.0,319.0
B02,650,4,1147.7,12.7,327.8
B02,675,5,1229.8,13.5,327.0
B02,450,6,887.3,18.3,285.9
B02,475,7,930.8,15.7,288.5
B02,500,8,946.3,15.9,278.8
B02,525,9,1007.8,14.9,287.6
B02,550,2,1027.0,14.0,312.3
B02,575,3,1055.5,13.1,312.1
B02,600,4,1091.6,11.3,308.2
B02,625,5,1140.2,11.8,327.1
B02,650,6,1181.4,13.4,316.0
B02,675,7,1197.6,10.9,324.8
B02,450,8,925.6,15.5,282.3
B02,475,9,962.4,15.9,291.8
B02,500,2,959.0,14.8,290.7
B02,525,3,1002.4,15.0,291.9
B02,550,4,1043.0,16.0,309.1
B02,575,5,1065.3,13.6,304.7
B02,600,6,1095.2,13.9,306.9
B02,625,7,1167.8,12.5,329.4
B02,650,8,1179.4,11.4,326.7
B02,675,9,1198.5,10.8,327.1
B02,450,2,920.7,16.3,275.3
B02,475,3,927.1,16.8,284.1
B02,500,4,956.5,15.7,276.1
B02,525,5,1005.1,13.6,300.0
B02,550,6,1032.9,15.3,299.2
B02,575,7,1081.6,13.7,311.3
B02,600,8,1104.0,12.0,316.3
B02,625,9,1142.1,10.1,321.5
B02,650,2,1162.2,12.6,326.3
B02,675,3,1163.7,11.1,326.8
B02,450,4,923.1,15.4,284.9
B02,475,5,951.5,15.7,274.8
B02,500,6,991.9,16.7,299.3
B02,525,7,1015.1,14.1,293.3
B02,550,8,1023.1,12.9,292.5
B02,575,9,1082.1,11.8,318.8
B02,600,2,1089.7,15.5,316.4
B02,625,3,1125.1,11.7,325.1
B02,650,4,1159.4,10.3,331.2
B02,675,5,1200.4,10.0,320.5
B02,450,6,900.5,16.9,272.9
B02,475,7,932.5,16.0,282.7
B02,500,8,956.5,14.9,282.3
B02,525,9,1009.2,14.3,302.7
B02,550,2,1063.6,14.3,305.6
B02,575,3,1069.0,13.9,318.0
B02,600,4,1119.1,12.0,307.4
B02,625,5,1134.3,11.0,320.7
B02,650,6,1134.7,13.3,317.5
B02,675,7,1196.0,12.8,333.0
B02,450,8,912.7,19.7,269.7
B02,475,9,965.3,13.3,287.5
B02,500,2,919.2,16.1,281.5
B02,525,3,1021.1,14.4,301.6
B02,550,4,1037.1,14.9,307.9
B02,575,5,1058.6,14.7,298.5
B02,600,6,1078.1,16.4,314.5
B02,625,7,1135.5,13.4,317.8
B02,650,8,1163.0,13.2,325.8
B02,675,9,1192.7,11.6,328.0
B02,450,2,911.4,15.1,288.2
B02,475,3,918.8,16.2,275.8
B02,500,4,990.0,17.5,305.3
